Receiver_ID,Name,Type,City,Contact,Claim_ID,Food_ID,Status,Timestamp_formatted
90,Alvin West,Shelter,Kellybury,(417)314-8724,64,771,Completed,13:38:00 17-03-2025
90,Alvin West,Shelter,Kellybury,(417)314-8724,589,619,Cancelled,23:44:00 13-03-2025
90,Alvin West,Shelter,Kellybury,(417)314-8724,614,707,Pending,13:47:00 14-03-2025
90,Alvin West,Shelter,Kellybury,(417)314-8724,999,917,Completed,15:31:00 01-03-2025
93,Allison Bray,Individual,Alexatown,001-122-277-3588,35,190,Cancelled,21:40:00 09-03-2025
93,Allison Bray,Individual,Alexatown,001-122-277-3588,963,397,Cancelled,06:39:00 07-03-2025
93,Allison Bray,Individual,Alexatown,001-122-277-3588,994,107,Cancelled,22:13:00 03-03-2025
94,Timothy Patel DVM,Charity,New Jessica,+1-046-832-9667x841,201,671,Completed,19:09:00 17-03-2025
96,Michael Walls,Individual,Carterside,650-930-7741,177,425,Cancelled,20:52:00 04-03-2025
96,Michael Walls,Individual,Carterside,650-930-7741,381,926,Cancelled,09:09:00 09-03-2025
96,Michael Walls,Individual,Carterside,650-930-7741,958,601,Cancelled,16:11:00 12-03-2025
97,Nathan May,Charity,South Veronicaburgh,(808)784-9354,15,684,Completed,08:00:00 07-03-2025
97,Nathan May,Charity,South Veronicaburgh,(808)784-9354,474,345,Cancelled,06:57:00 02-03-2025
98,Brian Cowan,Individual,Henryhaven,(234)142-1265x21005,243,69,Cancelled,02:42:00 13-03-2025
99,Nancy Silva,Individual,Russellville,929.221.3591x105,489,969,Completed,06:44:00 10-03-2025
100,Melissa Little,NGO,Robertaborough,(250)263-7746x235,128,589,Cancelled,19:29:00 10-03-2025
101,Nicole Reid,Shelter,Hollytown,808.564.6895,120,233,Pending,23:33:00 10-03-2025
102,Daniel Burton,Individual,North Matthewhaven,972.284.4190x487,283,97,Pending,08:11:00 07-03-2025
102,Daniel Burton,Individual,North Matthewhaven,972.284.4190x487,500,532,Completed,05:29:00 17-03-2025
102,Daniel Burton,Individual,North Matthewhaven,972.284.4190x487,843,512,Cancelled,01:37:00 10-03-2025
103,Karen Cruz,Individual,West Justin,(500)583-5978,241,558,Completed,02:23:00 12-03-2025
103,Karen Cruz,Individual,West Justin,(500)583-5978,265,92,Cancelled,07:39:00 15-03-2025
104,Victor Reyes,Charity,North Joshuafort,+1-411-230-8872x5335,323,670,Completed,13:58:00 15-03-2025
105,Trevor Wilson,NGO,North Pamela,001-651-719-1403x4050,369,84,Completed,02:34:00 10-03-2025
105,Trevor Wilson,NGO,North Pamela,001-651-719-1403x4050,995,190,Completed,00:46:00 10-03-2025
107,Jessica Morris,NGO,Port Elizabethton,(137)776-1761,150,991,Cancelled,13:37:00 03-03-2025
107,Jessica Morris,NGO,Port Elizabethton,(137)776-1761,769,971,Cancelled,01:25:00 04-03-2025
109,Rachel Nguyen,NGO,Theresamouth,(040)545-2043,277,766,Completed,12:24:00 09-03-2025
112,Brady Lopez,Individual,Michaeltown,831.275.5906x807,237,507,Cancelled,00:27:00 12-03-2025
112,Brady Lopez,Individual,Michaeltown,831.275.5906x807,772,926,Completed,15:24:00 04-03-2025
113,Jonathan Young,Shelter,Georgeborough,164-864-1786x77029,635,748,Pending,01:36:00 07-03-2025
113,Jonathan Young,Shelter,Georgeborough,164-864-1786x77029,651,156,Cancelled,22:38:00 14-03-2025
113,Jonathan Young,Shelter,Georgeborough,164-864-1786x77029,985,380,Completed,22:32:00 17-03-2025
116,Mark Lee,Individual,Port Teresa,001-983-757-6830x086,98,741,Cancelled,13:30:00 13-03-2025
118,Matthew Tran,Charity,South Franciscoport,583.144.1560x457,11,290,Pending,23:01:00 04-03-2025
118,Matthew Tran,Charity,South Franciscoport,583.144.1560x457,294,662,Pending,06:45:00 18-03-2025
118,Matthew Tran,Charity,South Franciscoport,583.144.1560x457,670,349,Cancelled,18:32:00 10-03-2025
119,Jasmine Robertson,Individual,Deanview,001-388-078-6769x4237,539,64,Cancelled,09:41:00 08-03-2025
122,Drew Cline,NGO,Port Patriciachester,517-828-7715,822,126,Pending,06:00:00 04-03-2025
124,Marie Andrade,Charity,Meghanfort,314-096-2823,443,879,Completed,12:55:00 05-03-2025
125,Tammy Smith,Individual,Campbellchester,001-668-537-1925x410,488,194,Pending,06:30:00 18-03-2025
126,Heather Brown,NGO,North Lori,(836)116-1365x8718,554,52,Completed,07:19:00 04-03-2025
126,Heather Brown,NGO,North Lori,(836)116-1365x8718,732,935,Pending,09:52:00 07-03-2025
127,Hayden Hill,NGO,North Roger,1431125754,518,282,Pending,20:37:00 07-03-2025
128,Sarah Carter,Charity,New Benjamin,001-513-018-5852,142,782,Cancelled,10:00:00 16-03-2025
128,Sarah Carter,Charity,New Benjamin,001-513-018-5852,832,133,Completed,08:29:00 20-03-2025
128,Sarah Carter,Charity,New Benjamin,001-513-018-5852,911,355,Pending,08:57:00 08-03-2025
129,Denise Martinez,Charity,Drakeburgh,(463)887-8557x617,93,600,Pending,11:30:00 16-03-2025
130,Matthew Hughes,Charity,Marieview,468-431-4471,666,749,Pending,09:02:00 15-03-2025
131,Shawn Mills,Charity,Jeffhaven,+1-951-192-1790,363,687,Pending,19:31:00 13-03-2025
131,Shawn Mills,Charity,Jeffhaven,+1-951-192-1790,689,246,Cancelled,03:31:00 13-03-2025
132,Katherine Gomez,Charity,South Jasonberg,(609)802-2108x3673,697,30,Completed,17:46:00 04-03-2025
132,Katherine Gomez,Charity,South Jasonberg,(609)802-2108x3673,975,226,Cancelled,05:18:00 01-03-2025
134,Emily Christian,Individual,Marcusberg,(724)629-2189x533,171,290,Pending,17:02:00 02-03-2025
134,Emily Christian,Individual,Marcusberg,(724)629-2189x533,618,395,Pending,03:19:00 02-03-2025
138,Christina Potter,NGO,Phillipsbury,+1-366-144-4542x657,247,861,Completed,07:34:00 12-03-2025
139,Charles Martin,NGO,New Christopher,(586)009-0817x964,678,56,Pending,00:33:00 10-03-2025
140,Kristin Scott,Shelter,North Christina,598.905.9117,172,226,Cancelled,02:08:00 21-03-2025
144,Jennifer Nelson,Individual,North Paul,(613)802-7241x644,415,485,Pending,13:35:00 11-03-2025
144,Jennifer Nelson,Individual,North Paul,(613)802-7241x644,583,925,Pending,01:06:00 03-03-2025
144,Jennifer Nelson,Individual,North Paul,(613)802-7241x644,636,554,Cancelled,17:20:00 18-03-2025
144,Jennifer Nelson,Individual,North Paul,(613)802-7241x644,791,240,Cancelled,03:33:00 10-03-2025
145,David Hull,Shelter,Tanyachester,139.804.6633,858,465,Completed,07:07:00 05-03-2025
149,Nathan Willis,NGO,Danielfort,830.318.9696x322,58,258,Completed,15:12:00 13-03-2025
149,Nathan Willis,NGO,Danielfort,830.318.9696x322,717,991,Pending,17:53:00 12-03-2025
150,Kelly Howe,Charity,Davidmouth,096.059.3098x621,702,83,Cancelled,23:02:00 11-03-2025
151,Lisa Eaton,Shelter,New Aimeemouth,342.869.6733,78,504,Completed,13:41:00 15-03-2025
152,Jasmine Miranda,Individual,Caseyland,913.509.4800x3395,365,207,Pending,03:03:00 07-03-2025
154,Thomas Johnson,Shelter,Lake Victoriaport,6267945876,242,380,Cancelled,13:16:00 06-03-2025
154,Thomas Johnson,Shelter,Lake Victoriaport,6267945876,924,580,Pending,16:32:00 13-03-2025
156,Corey Mitchell,Charity,Jacobsmouth,001-392-115-8557x9367,478,844,Cancelled,20:18:00 02-03-2025
158,Gregory Murphy,Individual,South Ashley,(090)319-2480,296,940,Cancelled,18:01:00 07-03-2025
158,Gregory Murphy,Individual,South Ashley,(090)319-2480,654,291,Pending,00:56:00 21-03-2025
159,Angela Cortez,NGO,Lisaton,+1-685-216-4851x71780,409,995,Cancelled,21:36:00 08-03-2025
160,Tracy Hartman,Charity,South Jill,+1-947-203-9101,344,992,Cancelled,21:51:00 10-03-2025
161,Mary Nguyen,Charity,Mcclurestad,+1-453-182-2743x789,75,909,Cancelled,11:44:00 06-03-2025
162,Douglas Baxter,Individual,Amandaville,+1-139-598-2308x18363,536,115,Cancelled,14:24:00 12-03-2025
162,Douglas Baxter,Individual,Amandaville,+1-139-598-2308x18363,616,967,Pending,16:05:00 12-03-2025
164,Aaron Scott,Charity,Heatherfurt,(075)863-3168x28937,851,71,Completed,16:08:00 08-03-2025
168,Kayla Johnson,Shelter,East Timhaven,786.534.5065,140,548,Completed,01:19:00 18-03-2025
168,Kayla Johnson,Shelter,East Timhaven,786.534.5065,502,84,Completed,01:43:00 05-03-2025
168,Kayla Johnson,Shelter,East Timhaven,786.534.5065,967,890,Pending,16:42:00 12-03-2025
170,Adam Browning,Charity,Port Erica,196.596.9067,936,96,Cancelled,01:17:00 08-03-2025
171,Suzanne Velasquez,NGO,Joanchester,(305)672-4633x961,739,230,Completed,17:31:00 02-03-2025
172,Nicole Brown,Charity,Thomaston,216-121-6760,273,870,Pending,00:34:00 19-03-2025
172,Nicole Brown,Charity,Thomaston,216-121-6760,734,224,Cancelled,16:07:00 18-03-2025
173,Jason Moore,NGO,West Courtneyport,913.468.5154x18139,260,137,Pending,15:11:00 05-03-2025
173,Jason Moore,NGO,West Courtneyport,913.468.5154x18139,421,572,Pending,14:48:00 08-03-2025
173,Jason Moore,NGO,West Courtneyport,913.468.5154x18139,873,558,Pending,05:22:00 17-03-2025
174,Matthew Johnson,Individual,Smithstad,285.859.0597,705,298,Cancelled,07:36:00 09-03-2025
176,Brendan Farley,NGO,Nicoleport,376.330.3007,218,523,Pending,20:46:00 06-03-2025
180,Michelle Cook,Shelter,Peterhaven,(412)902-4858,524,448,Completed,04:57:00 15-03-2025
181,Paul Evans,NGO,Smithshire,3222400397,771,297,Cancelled,01:15:00 13-03-2025
181,Paul Evans,NGO,Smithshire,3222400397,782,476,Completed,19:49:00 04-03-2025
181,Paul Evans,NGO,Smithshire,3222400397,961,955,Completed,05:05:00 16-03-2025
183,Nicole Walker,Individual,Thomasland,001-617-475-6913x02561,328,577,Completed,15:44:00 06-03-2025
183,Nicole Walker,Individual,Thomasland,001-617-475-6913x02561,597,599,Pending,05:49:00 13-03-2025
183,Nicole Walker,Individual,Thomasland,001-617-475-6913x02561,952,459,Completed,07:49:00 18-03-2025
184,Matthew Sanchez,Individual,Port Melissa,001-715-920-1622x23981,131,640,Cancelled,05:12:00 07-03-2025
185,Shannon Pineda,Individual,Lake Amanda,129-249-0893x786,76,877,Completed,22:38:00 13-03-2025
185,Shannon Pineda,Individual,Lake Amanda,129-249-0893x786,336,164,Cancelled,11:49:00 17-03-2025
185,Shannon Pineda,Individual,Lake Amanda,129-249-0893x786,698,633,Cancelled,00:51:00 03-03-2025
187,Amy Thomas,Shelter,Lake Erica,+1-215-295-0597x4795,311,294,Cancelled,21:22:00 06-03-2025
189,Stephen Smith,Individual,Maxberg,(690)326-1349x605,28,586,Pending,04:15:00 19-03-2025
189,Stephen Smith,Individual,Maxberg,(690)326-1349x605,912,683,Completed,15:37:00 20-03-2025
190,Maria Jackson,Charity,North Shelby,016.041.6963x060,377,901,Pending,05:43:00 08-03-2025
191,Brent Anderson,Shelter,New Seanburgh,2254787600,988,272,Pending,07:18:00 04-03-2025
192,Rhonda King,Individual,Toddborough,367-958-5492,606,912,Cancelled,01:34:00 15-03-2025
192,Rhonda King,Individual,Toddborough,367-958-5492,612,92,Completed,21:16:00 13-03-2025
192,Rhonda King,Individual,Toddborough,367-958-5492,719,695,Cancelled,00:06:00 12-03-2025
193,Jesse Brown,Charity,Figueroaport,001-481-425-0706x82893,977,853,Pending,20:11:00 05-03-2025
194,Alan Campbell,NGO,Shawmouth,(942)807-0793x71978,780,16,Pending,13:58:00 08-03-2025
195,John Martin,Charity,New Jason,581-174-6644x358,470,215,Cancelled,13:44:00 20-03-2025
195,John Martin,Charity,New Jason,581-174-6644x358,841,682,Completed,00:22:00 03-03-2025
195,John Martin,Charity,New Jason,581-174-6644x358,901,474,Pending,09:04:00 12-03-2025
196,Tara Bauer,Charity,Port Dustin,(709)935-2878,110,469,Pending,00:09:00 01-03-2025
199,Ashley Rivers,Individual,East Sharon,+1-988-051-2193x6577,312,904,Completed,12:44:00 08-03-2025
201,Calvin Lucas,Individual,Corybury,4177309502,250,475,Cancelled,21:41:00 19-03-2025
202,Veronica Coleman,NGO,North Mario,(096)512-5528x76619,789,684,Cancelled,21:34:00 01-03-2025
203,Vincent Matthews,Shelter,Allenmouth,335998576,564,947,Cancelled,13:30:00 06-03-2025
204,Rachel Thomas,Individual,North Lindachester,(417)873-5848x16786,660,912,Cancelled,10:54:00 08-03-2025
205,Kimberly Wilkins,Charity,West Casey,3783162949,668,86,Cancelled,09:10:00 10-03-2025
205,Kimberly Wilkins,Charity,West Casey,3783162949,773,35,Pending,10:01:00 12-03-2025
211,Judy Griffith,Charity,Baileyville,+1-255-391-6382x12809,996,855,Completed,19:40:00 13-03-2025
212,Ronald Gonzalez,Shelter,Stevenmouth,+1-946-378-3210x0415,760,828,Completed,16:00:00 13-03-2025
213,Kelly Barber,NGO,Emilymouth,259-420-4088x04690,285,387,Completed,14:32:00 18-03-2025
213,Kelly Barber,NGO,Emilymouth,259-420-4088x04690,681,334,Cancelled,09:29:00 11-03-2025
213,Kelly Barber,NGO,Emilymouth,259-420-4088x04690,768,939,Pending,16:20:00 18-03-2025
214,Corey Rodriguez,NGO,New Roseville,+1-866-544-7425x907,492,672,Pending,09:41:00 10-03-2025
215,Mr. Matthew Johnson DDS,Charity,Port Stephen,1733110659,560,731,Cancelled,06:42:00 11-03-2025
216,Morgan Massey,Charity,West Amybury,929-286-6902,451,683,Completed,08:06:00 13-03-2025
216,Morgan Massey,Charity,West Amybury,929-286-6902,637,476,Pending,13:06:00 20-03-2025
218,Corey Lamb,Charity,New Daniel,882-893-9920,725,784,Pending,12:45:00 20-03-2025
218,Corey Lamb,Charity,New Daniel,882-893-9920,731,403,Completed,22:44:00 17-03-2025
219,Alex Rogers,Charity,Lake Austinmouth,+1-017-613-1019,759,174,Cancelled,11:19:00 18-03-2025
220,Cassandra Mendoza,NGO,Dantown,2612673922,412,981,Cancelled,11:44:00 03-03-2025
220,Cassandra Mendoza,NGO,Dantown,2612673922,645,739,Pending,03:23:00 20-03-2025
220,Cassandra Mendoza,NGO,Dantown,2612673922,657,945,Completed,12:26:00 08-03-2025
221,Rebecca Goodman,Shelter,Robinsonland,(392)221-8538x523,226,981,Completed,14:59:00 10-03-2025
222,Stephanie Jones,Shelter,West Aaronport,001-029-940-1111,73,708,Pending,23:42:00 05-03-2025
223,David Henderson,Charity,Hallside,(976)946-9613,483,674,Completed,15:25:00 13-03-2025
223,David Henderson,Charity,Hallside,(976)946-9613,652,932,Pending,12:54:00 05-03-2025
225,Joseph Bowman,NGO,West Jessica,001-363-434-2847x24463,538,220,Cancelled,04:18:00 05-03-2025
226,Daniel Kerr,Charity,Fergusonton,(548)955-9384x8406,874,822,Pending,05:50:00 10-03-2025
227,Samuel Hodge,NGO,Port Maria,302-463-7516,609,200,Completed,03:34:00 10-03-2025
227,Samuel Hodge,NGO,Port Maria,302-463-7516,800,224,Cancelled,23:55:00 11-03-2025
228,Joanna Wilkins,Charity,Singletonview,(796)888-1488,30,193,Pending,04:05:00 07-03-2025
228,Joanna Wilkins,Charity,Singletonview,(796)888-1488,837,25,Cancelled,14:13:00 12-03-2025
228,Joanna Wilkins,Charity,Singletonview,(796)888-1488,870,972,Completed,18:54:00 17-03-2025
229,Tina Watkins,Shelter,Bushview,7774795306,5,345,Pending,15:17:00 14-03-2025
233,Alicia Porter,Charity,Port Ericmouth,001-652-614-2884x66578,14,426,Cancelled,16:08:00 08-03-2025
233,Alicia Porter,Charity,Port Ericmouth,001-652-614-2884x66578,26,959,Cancelled,04:34:00 21-03-2025
233,Alicia Porter,Charity,Port Ericmouth,001-652-614-2884x66578,699,138,Cancelled,15:15:00 04-03-2025
235,Megan Freeman,NGO,Rogerburgh,+1-510-274-6183x0559,685,622,Cancelled,08:58:00 01-03-2025
237,Cathy Adams,Shelter,West Josephshire,269-061-4726,425,797,Pending,15:13:00 01-03-2025
239,Lindsay Garcia,NGO,North Kimberlyport,722151225,729,308,Pending,12:55:00 16-03-2025
239,Lindsay Garcia,NGO,North Kimberlyport,722151225,914,950,Completed,13:03:00 18-03-2025
240,Ronald Miller,Shelter,Edwardsside,180633263,803,701,Pending,14:33:00 09-03-2025
240,Ronald Miller,Shelter,Edwardsside,180633263,949,241,Completed,08:53:00 03-03-2025
241,Elizabeth Dunn,Charity,Wilsonfurt,(069)221-0114,399,947,Pending,19:27:00 06-03-2025
242,Matthew Pearson,NGO,Garciaview,6212235497,252,544,Completed,03:22:00 20-03-2025
245,Rebecca Sanchez,Shelter,New Craig,586-413-7361,349,262,Pending,19:39:00 05-03-2025
245,Rebecca Sanchez,Shelter,New Craig,586-413-7361,840,811,Pending,11:00:00 17-03-2025
246,Kristi Wagner,Shelter,Lake Darrellburgh,264-255-1562,192,335,Completed,10:05:00 02-03-2025
249,Zachary Lewis,Charity,Lake Kelli,318694632,379,271,Cancelled,23:15:00 14-03-2025
250,Jamie Ferguson,Charity,Jenniferberg,001-052-150-4048x243,244,163,Cancelled,02:32:00 11-03-2025
254,Felicia Wilkinson,Shelter,Williamsfort,4034230469,165,616,Pending,04:53:00 11-03-2025
255,Walter Myers,Individual,New Tina,+1-285-278-8381x0454,51,543,Pending,10:59:00 04-03-2025
255,Walter Myers,Individual,New Tina,+1-285-278-8381x0454,219,488,Pending,08:55:00 03-03-2025
255,Walter Myers,Individual,New Tina,+1-285-278-8381x0454,642,113,Pending,19:57:00 20-03-2025
256,Derek Wilson,Individual,Christopherland,+1-963-859-7585x002,7,735,Cancelled,23:58:00 07-03-2025
256,Derek Wilson,Individual,Christopherland,+1-963-859-7585x002,42,886,Pending,12:22:00 07-03-2025
258,Scott Grant,Individual,Port Samantha,001-691-849-8860x97955,353,730,Pending,21:29:00 07-03-2025
258,Scott Grant,Individual,Port Samantha,001-691-849-8860x97955,473,593,Pending,11:39:00 14-03-2025
259,Aimee Stone,NGO,Barnesport,104-394-7041x83013,537,39,Cancelled,08:41:00 20-03-2025
259,Aimee Stone,NGO,Barnesport,104-394-7041x83013,792,775,Completed,17:39:00 12-03-2025
262,Autumn Reed,NGO,East John,+1-001-202-0048,178,437,Cancelled,05:55:00 05-03-2025
262,Autumn Reed,NGO,East John,+1-001-202-0048,331,585,Cancelled,18:37:00 18-03-2025
266,Stacy Mayo,Shelter,Bauerton,+1-364-925-2936x855,465,632,Pending,21:43:00 19-03-2025
266,Stacy Mayo,Shelter,Bauerton,+1-364-925-2936x855,883,167,Pending,12:45:00 11-03-2025
267,Randall Robbins,Shelter,Dylanton,+1-382-112-6000,321,116,Completed,18:14:00 12-03-2025
267,Randall Robbins,Shelter,Dylanton,+1-382-112-6000,954,732,Cancelled,10:04:00 10-03-2025
269,Mrs. Paula Jones,Individual,Emilymouth,(935)377-2742x36543,463,615,Completed,11:00:00 18-03-2025
269,Mrs. Paula Jones,Individual,Emilymouth,(935)377-2742x36543,497,606,Completed,03:51:00 06-03-2025
271,Mark Hartman,Individual,East Ashleyshire,818-015-1582,34,713,Pending,01:17:00 18-03-2025
272,Walter Carter,Shelter,Brianchester,(170)734-4123x02001,155,413,Completed,08:27:00 17-03-2025
272,Walter Carter,Shelter,Brianchester,(170)734-4123x02001,989,799,Pending,13:03:00 08-03-2025
274,Robin Ross,Individual,East Williamborough,(780)754-0093,514,521,Cancelled,00:05:00 21-03-2025
